Dto,Albergs de joventut,Apartaments turístics,Habitatges d'ús turístic,Hostal/Pensió,Hotel,1 estrella,2 estrelles,3 estrelles,4 estrelles,4 est. superior,5 estrelles,Hotel gran luxe,Hotel-Apartament,Residències estudiants
Bcn,10.239,58.338,6.395,58.338,71.140,3.373,4.561,14.294,29.894,7.834,5.709,5.475,2.560,7.311
1,1.169,3.214,2.712,3.214,18.796,1.065,1.081,6.113,3.904,1.844,1.595,3.194,438,878
2,3.150,29.675,2.148,29.675,21.229,672,1.056,4.387,9.456,2.256,1.651,1.751,359,580
3,894,5.975,864,5.975,6.466,156,178,416,4.470,1.096,0,150,192,580
4,583,1.584,48,1.584,5.730,0,129,246,1.780,1.198,2.377,0,332,910
5,580,3.244,287,3.244,2.952,0,239,984,1.559,0,0,170,671,1.576
6,2.019,5.899,242,5.899,1.153,153,22,404,364,0,0,210,60,570
7,147,1.388,28,1.388,913,164,228,44,477,0,0,0,0,712
8,0,127,45,127,282,0,282,0,0,0,0,0,0,0
9,12,505,0,,505,222,0,0,222,0,0,0,0,0,0
10,1.685,6.727,21,6.727,13.397,1.163,1.346,1.478,7.884,1.440,86,0,508,1.505
