Districte,Nombre d'habitatges Total, Nombre d'habitatges Nova Planta, Nombre d'habitatges Reforma + Ampliacio,Nombre de places d'aparcament Total,Nombre de places d'aparcament Residencies, Nombre de places d'aparcament Altres edificis
Ciutat Vella,337,135,202,113,15,98
L’Eixample,527,337,190,270,189,81
Sants-Montjuïc,498,475,23,1.119,84,1.035
Les Corts,86,52,34,193,7,186
Sarrià-Sant Gervasi,399,216,183,442,197,245
Gràcia,329,249,80,174,97,77
Horta-Guinardó,457,398,59,432,262,170
Nou Barris,88,87,1,202,41,161
Sant Andreu,394,326,68,232,119,113
Sant Martí,745,671,74,2.564,452,2.112
