Dte,Barri,2017,2018,2019,2020,2021
BARCELONA,1.406.490,1.409.783,1.430.821,1.447.754,1.446.425
1,1.el Raval,41.458,41.125,41.902,41.763,42.161
1,2.el Barri Gòtic,14.796,15.571,17.638,20.130,21.245
1,3.la Barceloneta,13.749,13.582,13.944,13.911,13.964
1,4.Sant Pere Santa Caterina i la Ribera,20.557,20.292,20.891,20.974,20.844
2,5.el Fort Pienc,28.123,28.142,28.725,29.426,29.671
2,6.la Sagrada Família,45.924,45.928,46.236,46.616,46.604
2,7.la Dreta de l'Eixample,38.552,38.306,38.742,38.974,38.963
2,8.l'Antiga Esquerra de l'Eixample,37.569,37.647,38.196,38.505,38.519
2,9.la Nova Esquerra de l'Eixample,51.723,51.680,52.093,52.197,51.670
2,10.Sant Antoni,34.182,34.079,34.302,34.675,34.573
3,11.el Poble Sec - AEI Parc Montjuïc,35.352,34.917,35.533,35.413,35.556
3,12.la Marina del Prat Vermell - AEI Zona Franca,993,1.002,1.035,1.067,1.169
3,13.la Marina de Port,26.131,26.264,26.643,26.973,26.863
3,14.la Font de la Guatlla,9.262,9.174,9.272,9.309,9.214
3,15.Hostafrancs,14.061,14.054,14.226,14.301,14.252
3,16.la Bordeta,16.256,16.489,17.009,17.109,17.037
3,17.Sants - Badal,21.278,21.233,21.601,22.026,22.017
3,18.Sants,36.194,36.286,37.192,38.525,38.495
4,19.les Corts,40.262,40.197,40.620,40.714,40.113
4,20.la Maternitat i Sant Ramon,20.922,20.879,20.903,20.922,20.797
4,21.Pedralbes,10.014,9.986,9.965,9.967,9.881
5,22.Vallvidrera el Tibidabo i les Planes,3.762,3.766,3.825,3.813,3.876
5,23.Sarrià,20.270,20.277,20.371,20.529,20.224
5,24.les Tres Torres,13.560,13.536,13.595,13.578,13.424
5,25.Sant Gervasi - la Bonanova,21.432,21.412,21.658,21.776,21.655
5,26.Sant Gervasi - Galvany,40.192,40.222,40.403,40.556,40.284
5,27.el Putxet i el Farró,25.101,25.161,25.376,25.929,25.640
6,28.Vallcarca i els Penitents,13.348,13.473,13.589,13.829,14.041
6,29.el Coll,6.354,6.408,6.486,6.605,6.642
6,30.la Salut,11.472,11.499,11.606,11.655,11.670
6,31.la Vila de Gràcia,44.629,44.261,44.591,44.801,44.465
6,32.el Camp d'en Grassot i Gràcia Nova,30.189,30.358,30.879,31.200,31.157
7,33.el Baix Guinardó,22.723,22.785,22.976,23.154,22.855
7,34.Can Baró,7.884,7.918,8.076,8.133,8.145
7,35.el Guinardó,31.640,32.003,32.341,32.715,32.575
7,36.la Font d'en Fargues,7.963,8.049,8.083,8.134,8.147
7,37.el Carmel,27.193,27.428,27.764,28.077,28.295
7,38.la Teixonera,10.073,10.120,10.255,10.404,10.529
7,39.Sant Genís dels Agudells,6.080,6.224,6.426,6.555,6.414
7,40.Montbau,4.553,4.525,4.559,4.602,4.494
7,41.la Vall d'Hebron,5.033,4.999,5.062,5.145,5.196
7,42.la Clota,521,555,567,583,578
7,43.Horta,23.180,23.249,23.765,24.545,24.410
8,44.Vilapicina i la Torre Llobeta,22.327,22.377,22.589,22.826,22.699
8,45.Porta,21.727,22.124,23.060,24.235,24.279
8,46.el Turó de la Peira,13.309,13.309,13.486,13.808,13.751
8,47.Can Peguera,1.917,1.906,1.905,1.903,1.904
8,48.la Guineueta,13.203,13.238,13.351,13.405,13.310
8,49.Canyelles,6.023,6.046,6.050,6.070,6.022
8,50.les Roquetes,13.153,13.261,13.645,13.785,13.893
8,51.Verdun 10.651,10.710,10.818,10.987,11.048
8,52.la Prosperitat,22.844,22.966,23.237,23.445,23.368
8,53.la Trinitat Nova,6.135,6.232,6.429,6.525,6.507
8,54.Torre Baró 2.288,2.331,2.373,2.375,2.389
8,55.Ciutat Meridiana,8.553,8.775,8.934,9.069,9.121
8,56.Vallbona,1.105,1.117,1.138,1.152,1.133
9,57.la Trinitat Vella,8.260,8.263,8.475,8.578,8.636
9,58.Baró de Viver,2.076,2.081,2.153,2.176,2.207
9,59.el Bon Pastor,10.220,10.362,10.725,11.239,11.390
9,60.Sant Andreu,48.995,49.397,49.724,50.290,50.118
9,61.la Sagrera,25.340,25.462,25.667,25.753,25.794
9,62.el Congrés i els Indians,12.249,12.322,12.636,12.797,12.670
9,63.Navas,19.373,19.383,19.550,19.731,19.594
10,64.el Camp de l'Arpa del Clot,33.928,33.996,34.544,34.754,34.477
10,65.el Clot,23.439,23.436,23.577,23.574,23.469
10,66.el Parc i la Llacuna del Poblenou,13.214,13.374,13.653,13.879,13.851
10,67.la Vila Olímpica del Poblenou,7.792,7.771,7.867,7.949,8.037
10,68.el Poblenou,28.185,28.240,28.529,28.820,28.982
10,69.Diagonal Mar i el Front Marítim del Poblenou,10.901,10.913,10.915,10.871,10.977
10,70.el Besòs i el Maresme,19.389,19.863,20.775,21.575,22.227
10,71.Provençals del Poblenou,17.576,17.654,18.054,18.269,18.074
10,72.Sant Martí de Provençals,22.801,22.727,22.869,22.873,22.964
10,73.la Verneda i la Pau,25.007,25.086,25.172,25.226,25.210
