Centre cívic,Districte,Activitats formació Nombre,Activitats formació Inscripcions,Activitats difusió Nombre,Activitats difusió Assistents cultural,Entitats usuàries
Total,6.231,71.599,1.950,113.273,2.494
CC Barceloneta,Ciutat Vella,120,1.293,44,2.386,161
CC Convent de Sant Agustí,Ciutat Vella,59,573,56,1.263,128
CC Drassanes,Ciutat Vella,91,894,32,533,93
CC Pati Llimona,Ciutat Vella,184,2.220,67,1.766,45
CC Cotxeres Borrell,L'Eixample,100,984,41,2.617,93
CC Fort Pienc,L'Eixample,126,1.594,41,4.126,62
CC Golferichs,L'Eixample,266,4.190,38,1.230,29
CC La Casa Elizalde,L'Eixample,356,6.912,60,4.307,34
CC Sagrada Familia,L'Eixample,260,2.725,35,1.861,16
CC Urgell,L'Eixample,273,4.805,58,5.409,82
CC Casa del Rellotge,Sants-Montjuïc,59,520,12,1.292,40
CC El Sortidor,Sants-Montjuïc,82,1.112,19,591,140
CC Font de la Guatlla,Sants-Montjuïc,152,1.328,25,849,2
CC Cultural Albareda,Sants-Montjuïc,66,837,50,2.901,206
CC La Cadena,Sants-Montjuïc,70,462,8,206,14
CC Cotxeres de Sants/Casinet d'Hostafrancs,3.Sants-Montjuïc,578,6.021,31,3.859,94
CC Can Deu,Les Corts,175,1.559,13,477,53
CC Joan Oliver-Pere Quart,Les Corts,234,2.850,43,2.272,35
CC Josep M. Trias i Peitx-Riera Blanca,Les Corts,271,2.415,16,611,0
CC Tomasa Cuevas-Les Corts,Les Corts,49,496,38,2.322,40
CC Can Castelló,Sarrià-St.Gervasi,22,229,11,209,10
CC Casa Orlandai,Sarrià-St.Gervasi,150,1.555,216,9.622,129
CC L'Elèctric,Sarrià-St.Gervasi,9,112,5,129,13
CC Pere Pruna,Sarrià-St.Gervasi,33,399,23,1.247,7
CC Sarrià,Sarrià-St.Gervasi,123,1.030,17,762,62
CC Vallvidrera Vázquez Montalbán,Sarrià-St.Gervasi,32,422,15,737,28
CC Vil·la Urània,Sarrià-St.Gervasi,172,1.603,68,1.429,69
CC Vil·la Florida,Sarrià-St.Gervasi,123,1.887,17,708,27
CC La Sedeta,Gràcia,358,4.002,65,8.434,0
CC El Coll-La Bruguera,Gràcia,24,417,20,1.969,36
CC Casa Groga,Horta-Guinardó,27,272,22,1.618,18
CC El Carmel,Horta-Guinardó,49,478,22,783,45
CC Guinardó,Horta-Guinardó,40,398,41,1.171,33
CC Matas i Ramis,Horta-Guinardó,89,929,53,1.753,35
CC Teixonera,Horta-Guinardó,74,889,31,1.379,33
CC Can Basté,Nou Barris,105,1.052,38,2.740,41
CC Can Verdaguer,Nou Barris,122,1.133,64,1.408,47
CC Torre Llobeta,Nou Barris,93,905,83,2.695,52
CC Zona Nord,Nou Barris,58,379,80,8.578,35
CC Baró de Viver,Sant Andreu,133,1.723,64,3.436,22
CC Can Clariana Cultural,Sant Andreu,29,396,63,2.999,61
CC La Sagrera,Sant Andreu,78,880,22,549,0
CC Navas,Sant Andreu,267,2.421,40,1.892,30
CC Sant Andreu,Sant Andreu,52,623,25,484,8
CC Bon Pastor,Sant Andreu,27,295,18,473,25
CC Trinitat Vella,Sant Andreu,38,329,29,895,59
CC Can Felipa,Sant Martí,120,1.187,39,3.738,72
CC del Parc-Sandaru,Sant Martí,37,399,41,3.847,22
CC Sant Martí,Sant Martí,96,1.014,69,8.560,75
C Cultural la Farinera del Clot,Sant Martí,48,513,42,2.759,77
CC Besòs,Sant Martí,107,788,25,758,23
