Districte,Població,Turismes,Superfície (km²),Habitants/Turisme,Turismes/km²,Turismes/1000 hab,Turismes/domicili
Barcelona,1.666.530,479.315,101.7,3.5,4.713,287.6,0.7
Ciutat Vella,108.331,17.679,4.2,6.1,4.204,163.2,0.4
L'Eixample,270.694,77.912,7.5,3.5,10.438,287.8,0.7
Sants-Montjuïc,187.584,49.494,22.9,3.8,2.163,263.8,0.7
Les Corts,82.635,31.393,6.0,2.6,5.223,379.9,0.9
Sarrià-Sant Gervasi,151.157,59.474,19.9,2.5,2.986,393.5,1.0
Gràcia,123.651,33.709,4.2,3.7,7.980,272.6,0.6
Horta-Guinardó,174.799,49.751,11.9,3.5,4.174,284.6,0.7
Nou Barris,174.012,45.792,8.1,3.8,5.684,263.2,0.7
Sant Andreu,151.976,44.922,6.6,3.4,6.815,295.6,0.7
Sant Martí,241.691,68.992,10.4,3.5,6.610,285.5,0.7
No consta,0,197,-,-,-,-,-
