Districte,Total,Obres,Aparcaments Privats,Aparcaments Publics,Estació Servei,Local negoci,Tallers,Activitats exemptes,Ajuntament,Altres
Ciutat Vella,283,0,145,31,0,21,7,27,7,45
L'Eixample,2.200,1,1.106,275,15,358,147,45,58,195
Sants-Montjuïc,1.817,0,1.044,73,16,383,131,50,22,98
Les Corts,1.388,0,979,74,9,93,61,34,15,123
Sarrià-Sant Gervasi,3.561,0,2.770,123,13,197,106,43,10,299
Gràcia,1.848,0,1.362,88,9,201,84,36,2,66
Horta-Guinardó,2.698,0,2.126,36,4,180,118,17,17,200
Nou Barris,1.285,0,934,18,11,124,116,33,18,31
Sant Andreu,2.059,0,1.242,56,19,430,111,44,7,150
Sant Martí,2.190,1,1.217,69,44,454,209,41,35,120
