Districte,Total (ha),Residencial,Equipaments,Parcs urbans,Indústria i infraestructures,Xarxa viària,Parcs forestals
Ciutat Vella,412.1,129.6,52.1,69.0,56.2,105.1,0.0
L’Eixample,746.4,371.9,55.8,54.2,1.2,263.4,0.0
Sants-Montjuïc,2.267.6,251.6,205.2,433.9,1.055.0,321.9,0.0
Les Corts,601.1,178.0,150.7,67.2,1.1,156.4,47.7
Sarrià-Sant Gervasi,1.991.6,61.5,152.3,99.8,6.2,237.3,885.5
Gràcia,422.4,202.5,45.8,52.0,0.7,106.7,14.7
Horta-Guinardó,1.192.0,289.8,146.0,179.4,3.3,196.7,376.8
Nou Barris,805.1,232.8,81.0,123.6,18.8,185.8,163.1
Sant Andreu,659.2,190.6,51.8,96.9,109.0,211.1,0.0
Sant Martí,1.039.6,288.9,87.4,185.8,135.7,341.8,0.0
