Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Servei,Total
2021,1,Ciutat Vella,1,el Raval,1,Públic,744
2021,1,Ciutat Vella,1,el Raval,2,Públic,9
2021,1,Ciutat Vella,1,el Raval,3,Públic,52
2021,1,Ciutat Vella,1,el Raval,4,Públic,25
2021,1,Ciutat Vella,1,el Raval,5,Públic,22
2021,1,Ciutat Vella,1,el Raval,6,Públic,4
2021,1,Ciutat Vella,1,el Raval,7,Públic,8
2021,1,Ciutat Vella,1,el Raval,8,Públic,24
2021,1,Ciutat Vella,1,el Raval,9,Públic,20
2021,1,Ciutat Vella,1,el Raval,10,Públic,7
2021,1,Ciutat Vella,1,el Raval,11,Públic,17
2021,1,Ciutat Vella,1,el Raval,12,Públic,9
2021,1,Ciutat Vella,1,el Raval,13,Públic,7
2021,1,Ciutat Vella,1,el Raval,14,Públic,4
2021,1,Ciutat Vella,1,el Raval,15,Públic,6
2021,1,Ciutat Vella,1,el Raval,16,Públic,17
2021,1,Ciutat Vella,1,el Raval,17,Públic,13
2021,1,Ciutat Vella,1,el Raval,18,Públic,6
2021,1,Ciutat Vella,1,el Raval,19,Públic,13
2021,1,Ciutat Vella,1,el Raval,20,Públic,5
2021,1,Ciutat Vella,1,el Raval,21,Públic,74
2021,1,Ciutat Vella,2,el Gòtic,22,Públic,2
2021,1,Ciutat Vella,2,el Gòtic,23,Públic,10
2021,1,Ciutat Vella,2,el Gòtic,25,Públic,202
2021,1,Ciutat Vella,2,el Gòtic,26,Públic,9
2021,1,Ciutat Vella,2,el Gòtic,27,Públic,497
2021,1,Ciutat Vella,2,el Gòtic,28,Públic,7
2021,1,Ciutat Vella,2,el Gòtic,29,Públic,29
2021,1,Ciutat Vella,2,el Gòtic,30,Públic,1016
2021,1,Ciutat Vella,2,el Gòtic,31,Públic,30
2021,1,Ciutat Vella,3,la Barceloneta,32,Públic,68
2021,1,Ciutat Vella,3,la Barceloneta,33,Públic,7
2021,1,Ciutat Vella,3,la Barceloneta,34,Públic,11
2021,1,Ciutat Vella,3,la Barceloneta,35,Públic,10
2021,1,Ciutat Vella,3,la Barceloneta,36,Públic,3
2021,1,Ciutat Vella,3,la Barceloneta,37,Públic,3
2021,1,Ciutat Vella,3,la Barceloneta,38,Públic,7
2021,1,Ciutat Vella,3,la Barceloneta,39,Públic,5
2021,1,Ciutat Vella,3,la Barceloneta,40,Públic,21
2021,1,Ciutat Vella,3,la Barceloneta,41,Públic,3
2021,1,Ciutat Vella,3,la Barceloneta,42,Públic,14
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Públic,3902
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Públic,5
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Públic,8
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Públic,9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Públic,13
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Públic,9
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Públic,47
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Públic,6
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Públic,5
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Públic,7
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Públic,11
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Públic,8
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Públic,24
2021,2,Eixample,5,el Fort Pienc,1,Públic,151
2021,2,Eixample,5,el Fort Pienc,2,Públic,11
2021,2,Eixample,5,el Fort Pienc,3,Públic,11
2021,2,Eixample,5,el Fort Pienc,4,Públic,11
2021,2,Eixample,5,el Fort Pienc,5,Públic,15
2021,2,Eixample,5,el Fort Pienc,6,Públic,3
2021,2,Eixample,5,el Fort Pienc,7,Públic,1
2021,2,Eixample,5,el Fort Pienc,8,Públic,6
2021,2,Eixample,5,el Fort Pienc,9,Públic,6
2021,2,Eixample,5,el Fort Pienc,10,Públic,10
2021,2,Eixample,5,el Fort Pienc,11,Públic,15
2021,2,Eixample,5,el Fort Pienc,12,Públic,15
2021,2,Eixample,5,el Fort Pienc,13,Públic,74
2021,2,Eixample,5,el Fort Pienc,14,Públic,14
2021,2,Eixample,5,el Fort Pienc,15,Públic,11
2021,2,Eixample,5,el Fort Pienc,16,Públic,31
2021,2,Eixample,5,el Fort Pienc,17,Públic,6
2021,2,Eixample,5,el Fort Pienc,18,Públic,4
2021,2,Eixample,5,el Fort Pienc,19,Públic,37
2021,2,Eixample,5,el Fort Pienc,20,Públic,6
2021,2,Eixample,6,la Sagrada Família,21,Públic,2
2021,2,Eixample,6,la Sagrada Família,22,Públic,4
2021,2,Eixample,6,la Sagrada Família,23,Públic,2
2021,2,Eixample,6,la Sagrada Família,24,Públic,8
2021,2,Eixample,6,la Sagrada Família,25,Públic,8
2021,2,Eixample,6,la Sagrada Família,26,Públic,8
2021,2,Eixample,6,la Sagrada Família,27,Públic,10
2021,2,Eixample,6,la Sagrada Família,28,Públic,13
2021,2,Eixample,6,la Sagrada Família,29,Públic,7
2021,2,Eixample,6,la Sagrada Família,30,Públic,6
2021,2,Eixample,6,la Sagrada Família,31,Públic,4
2021,2,Eixample,6,la Sagrada Família,32,Públic,4
2021,2,Eixample,6,la Sagrada Família,33,Públic,12
2021,2,Eixample,6,la Sagrada Família,34,Públic,4
2021,2,Eixample,6,la Sagrada Família,35,Públic,12
2021,2,Eixample,6,la Sagrada Família,36,Públic,2
2021,2,Eixample,6,la Sagrada Família,37,Públic,2
2021,2,Eixample,6,la Sagrada Família,38,Públic,83
2021,2,Eixample,6,la Sagrada Família,39,Públic,5
2021,2,Eixample,6,la Sagrada Família,40,Públic,9
2021,2,Eixample,6,la Sagrada Família,41,Públic,11
2021,2,Eixample,6,la Sagrada Família,42,Públic,7
2021,2,Eixample,6,la Sagrada Família,43,Públic,12
2021,2,Eixample,6,la Sagrada Família,44,Públic,6
2021,2,Eixample,6,la Sagrada Família,45,Públic,13
2021,2,Eixample,6,la Sagrada Família,46,Públic,4
2021,2,Eixample,6,la Sagrada Família,47,Públic,32
2021,2,Eixample,6,la Sagrada Família,48,Públic,12
2021,2,Eixample,6,la Sagrada Família,49,Públic,8
2021,2,Eixample,6,la Sagrada Família,50,Públic,34
2021,2,Eixample,6,la Sagrada Família,51,Públic,11
2021,2,Eixample,6,la Sagrada Família,52,Públic,13
2021,2,Eixample,6,la Sagrada Família,53,Públic,22
2021,2,Eixample,6,la Sagrada Família,54,Públic,24
2021,2,Eixample,7,la Dreta de l'Eixample,55,Públic,5
2021,2,Eixample,7,la Dreta de l'Eixample,56,Públic,21
2021,2,Eixample,7,la Dreta de l'Eixample,57,Públic,5
2021,2,Eixample,7,la Dreta de l'Eixample,58,Públic,7
2021,2,Eixample,7,la Dreta de l'Eixample,59,Públic,4
2021,2,Eixample,7,la Dreta de l'Eixample,60,Públic,7
2021,2,Eixample,7,la Dreta de l'Eixample,61,Públic,5
2021,2,Eixample,7,la Dreta de l'Eixample,62,Públic,4
2021,2,Eixample,7,la Dreta de l'Eixample,63,Públic,6
2021,2,Eixample,7,la Dreta de l'Eixample,64,Públic,5
2021,2,Eixample,7,la Dreta de l'Eixample,65,Públic,9
2021,2,Eixample,7,la Dreta de l'Eixample,66,Públic,12
2021,2,Eixample,7,la Dreta de l'Eixample,67,Públic,8
2021,2,Eixample,7,la Dreta de l'Eixample,68,Públic,544
2021,2,Eixample,7,la Dreta de l'Eixample,69,Públic,7
2021,2,Eixample,7,la Dreta de l'Eixample,70,Públic,11
2021,2,Eixample,7,la Dreta de l'Eixample,71,Públic,23
2021,2,Eixample,7,la Dreta de l'Eixample,72,Públic,3
2021,2,Eixample,7,la Dreta de l'Eixample,73,Públic,5
2021,2,Eixample,7,la Dreta de l'Eixample,74,Públic,12
2021,2,Eixample,7,la Dreta de l'Eixample,75,Públic,7
2021,2,Eixample,7,la Dreta de l'Eixample,76,Públic,8
2021,2,Eixample,7,la Dreta de l'Eixample,77,Públic,212
2021,2,Eixample,7,la Dreta de l'Eixample,78,Públic,970
2021,2,Eixample,7,la Dreta de l'Eixample,79,Públic,75
2021,2,Eixample,7,la Dreta de l'Eixample,80,Públic,48
2021,2,Eixample,7,la Dreta de l'Eixample,81,Públic,66
2021,2,Eixample,7,la Dreta de l'Eixample,82,Públic,121
2021,2,Eixample,7,la Dreta de l'Eixample,83,Públic,219
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,Públic,1107
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,Públic,64
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,Públic,9
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,Públic,5
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,Públic,32
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,Públic,33
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,Públic,6
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,Públic,22
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,Públic,22
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,Públic,15
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,Públic,5
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,Públic,1
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,Públic,10
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,Públic,7
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,Públic,1
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,Públic,44
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,Públic,10
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,Públic,16
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,Públic,1
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,Públic,6
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,Públic,3
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,Públic,8
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,Públic,6
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,Públic,2
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,Públic,18
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,Públic,47
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,110,Públic,22
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,111,Públic,21
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,112,Públic,17
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,113,Públic,20
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,114,Públic,22
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,115,Públic,5
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,116,Públic,1
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,117,Públic,4
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,118,Públic,9
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,119,Públic,1
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,120,Públic,4
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,121,Públic,16
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,122,Públic,2
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,123,Públic,3
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,124,Públic,14
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,125,Públic,3
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,126,Públic,6
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,127,Públic,556
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,128,Públic,11
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,129,Públic,12
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,130,Públic,8
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,131,Públic,19
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,132,Públic,7
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,133,Públic,6
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,134,Públic,16
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,135,Públic,17
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,136,Públic,3
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,137,Públic,12
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,138,Públic,8
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,139,Públic,6
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,140,Públic,6
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,141,Públic,7
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,142,Públic,15
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,143,Públic,17
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,144,Públic,11
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,145,Públic,3
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,146,Públic,20
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,147,Públic,8
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,148,Públic,13
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,149,Públic,29
2021,2,Eixample,10,Sant Antoni,150,Públic,26
2021,2,Eixample,10,Sant Antoni,151,Públic,6
2021,2,Eixample,10,Sant Antoni,152,Públic,4
2021,2,Eixample,10,Sant Antoni,153,Públic,11
2021,2,Eixample,10,Sant Antoni,154,Públic,4
2021,2,Eixample,10,Sant Antoni,155,Públic,4
2021,2,Eixample,10,Sant Antoni,156,Públic,8
2021,2,Eixample,10,Sant Antoni,157,Públic,9
2021,2,Eixample,10,Sant Antoni,158,Públic,55
2021,2,Eixample,10,Sant Antoni,159,Públic,7
2021,2,Eixample,10,Sant Antoni,160,Públic,8
2021,2,Eixample,10,Sant Antoni,161,Públic,3
2021,2,Eixample,10,Sant Antoni,162,Públic,9
2021,2,Eixample,10,Sant Antoni,163,Públic,6
2021,2,Eixample,10,Sant Antoni,164,Públic,29
2021,2,Eixample,10,Sant Antoni,165,Públic,23
2021,2,Eixample,10,Sant Antoni,166,Públic,5
2021,2,Eixample,10,Sant Antoni,167,Públic,50
2021,2,Eixample,10,Sant Antoni,168,Públic,15
2021,2,Eixample,10,Sant Antoni,169,Públic,13
2021,2,Eixample,10,Sant Antoni,170,Públic,32
2021,2,Eixample,10,Sant Antoni,171,Públic,8
2021,2,Eixample,10,Sant Antoni,172,Públic,7
2021,2,Eixample,10,Sant Antoni,173,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,1,Públic,11
2021,3,Sants-Montjuïc,11,el Poble Sec,2,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,3,Públic,16
2021,3,Sants-Montjuïc,11,el Poble Sec,4,Públic,7
2021,3,Sants-Montjuïc,11,el Poble Sec,5,Públic,9
2021,3,Sants-Montjuïc,11,el Poble Sec,6,Públic,30
2021,3,Sants-Montjuïc,11,el Poble Sec,7,Públic,7
2021,3,Sants-Montjuïc,11,el Poble Sec,8,Públic,8
2021,3,Sants-Montjuïc,11,el Poble Sec,9,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,10,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,11,Públic,12
2021,3,Sants-Montjuïc,11,el Poble Sec,12,Públic,14
2021,3,Sants-Montjuïc,11,el Poble Sec,13,Públic,9
2021,3,Sants-Montjuïc,11,el Poble Sec,14,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,15,Públic,12
2021,3,Sants-Montjuïc,11,el Poble Sec,16,Públic,10
2021,3,Sants-Montjuïc,11,el Poble Sec,17,Públic,8
2021,3,Sants-Montjuïc,11,el Poble Sec,18,Públic,16
2021,3,Sants-Montjuïc,11,el Poble Sec,19,Públic,4
2021,3,Sants-Montjuïc,11,el Poble Sec,20,Públic,68
2021,3,Sants-Montjuïc,11,el Poble Sec,21,Públic,9
2021,3,Sants-Montjuïc,11,el Poble Sec,22,Públic,22
2021,3,Sants-Montjuïc,11,el Poble Sec,23,Públic,11
2021,3,Sants-Montjuïc,11,el Poble Sec,24,Públic,23
2021,3,Sants-Montjuïc,12,la Marina del Prat Vermell,25,Públic,4293
2021,3,Sants-Montjuïc,13,la Marina de Port,26,Públic,9
2021,3,Sants-Montjuïc,13,la Marina de Port,27,Públic,9
2021,3,Sants-Montjuïc,13,la Marina de Port,28,Públic,59
2021,3,Sants-Montjuïc,13,la Marina de Port,29,Públic,9
2021,3,Sants-Montjuïc,13,la Marina de Port,30,Públic,22
2021,3,Sants-Montjuïc,13,la Marina de Port,31,Públic,31
2021,3,Sants-Montjuïc,13,la Marina de Port,32,Públic,58
2021,3,Sants-Montjuïc,13,la Marina de Port,33,Públic,18
2021,3,Sants-Montjuïc,13,la Marina de Port,34,Públic,19
2021,3,Sants-Montjuïc,13,la Marina de Port,35,Públic,36
2021,3,Sants-Montjuïc,13,la Marina de Port,36,Públic,27
2021,3,Sants-Montjuïc,13,la Marina de Port,37,Públic,13
2021,3,Sants-Montjuïc,13,la Marina de Port,38,Públic,16
2021,3,Sants-Montjuïc,13,la Marina de Port,39,Públic,41
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,40,Públic,137
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,41,Públic,7
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,42,Públic,12
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,43,Públic,14
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,44,Públic,10
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,45,Públic,5
2021,3,Sants-Montjuïc,14,la Font de la Guatlla,46,Públic,14
2021,3,Sants-Montjuïc,15,Hostafrancs,47,Públic,11
2021,3,Sants-Montjuïc,15,Hostafrancs,48,Públic,11
2021,3,Sants-Montjuïc,15,Hostafrancs,49,Públic,10
2021,3,Sants-Montjuïc,15,Hostafrancs,50,Públic,14
2021,3,Sants-Montjuïc,15,Hostafrancs,51,Públic,11
2021,3,Sants-Montjuïc,15,Hostafrancs,52,Públic,20
2021,3,Sants-Montjuïc,15,Hostafrancs,53,Públic,10
2021,3,Sants-Montjuïc,15,Hostafrancs,54,Públic,24
2021,3,Sants-Montjuïc,15,Hostafrancs,55,Públic,8
2021,3,Sants-Montjuïc,15,Hostafrancs,56,Públic,14
2021,3,Sants-Montjuïc,16,la Bordeta,57,Públic,7
2021,3,Sants-Montjuïc,16,la Bordeta,58,Públic,16
2021,3,Sants-Montjuïc,16,la Bordeta,59,Públic,9
2021,3,Sants-Montjuïc,16,la Bordeta,60,Públic,8
2021,3,Sants-Montjuïc,16,la Bordeta,61,Públic,6
2021,3,Sants-Montjuïc,16,la Bordeta,62,Públic,5
2021,3,Sants-Montjuïc,16,la Bordeta,63,Públic,10
2021,3,Sants-Montjuïc,16,la Bordeta,64,Públic,26
2021,3,Sants-Montjuïc,16,la Bordeta,65,Públic,14
2021,3,Sants-Montjuïc,16,la Bordeta,66,Públic,22
2021,3,Sants-Montjuïc,16,la Bordeta,67,Públic,13
2021,3,Sants-Montjuïc,16,la Bordeta,68,Públic,21
2021,3,Sants-Montjuïc,16,la Bordeta,69,Públic,5
2021,3,Sants-Montjuïc,17,Sants - Badal,70,Públic,25
2021,3,Sants-Montjuïc,17,Sants - Badal,71,Públic,10
2021,3,Sants-Montjuïc,17,Sants - Badal,72,Públic,7
2021,3,Sants-Montjuïc,17,Sants - Badal,73,Públic,12
2021,3,Sants-Montjuïc,17,Sants - Badal,74,Públic,43
2021,3,Sants-Montjuïc,17,Sants - Badal,75,Públic,16
2021,3,Sants-Montjuïc,17,Sants - Badal,76,Públic,4
2021,3,Sants-Montjuïc,17,Sants - Badal,77,Públic,9
2021,3,Sants-Montjuïc,17,Sants - Badal,78,Públic,10
2021,3,Sants-Montjuïc,17,Sants - Badal,79,Públic,12
2021,3,Sants-Montjuïc,17,Sants - Badal,80,Públic,14
2021,3,Sants-Montjuïc,17,Sants - Badal,81,Públic,11
2021,3,Sants-Montjuïc,17,Sants - Badal,82,Públic,9
2021,3,Sants-Montjuïc,17,Sants - Badal,83,Públic,14
2021,3,Sants-Montjuïc,17,Sants - Badal,84,Públic,11
2021,3,Sants-Montjuïc,17,Sants - Badal,85,Públic,15
2021,3,Sants-Montjuïc,18,Sants,86,Públic,5
2021,3,Sants-Montjuïc,18,Sants,87,Públic,10
2021,3,Sants-Montjuïc,18,Sants,88,Públic,10
2021,3,Sants-Montjuïc,18,Sants,89,Públic,6
2021,3,Sants-Montjuïc,18,Sants,90,Públic,10
2021,3,Sants-Montjuïc,18,Sants,91,Públic,12
2021,3,Sants-Montjuïc,18,Sants,92,Públic,2
2021,3,Sants-Montjuïc,18,Sants,93,Públic,11
2021,3,Sants-Montjuïc,18,Sants,94,Públic,3
2021,3,Sants-Montjuïc,18,Sants,95,Públic,17
2021,3,Sants-Montjuïc,18,Sants,96,Públic,16
2021,3,Sants-Montjuïc,18,Sants,97,Públic,16
2021,3,Sants-Montjuïc,18,Sants,98,Públic,10
2021,3,Sants-Montjuïc,18,Sants,99,Públic,4
2021,3,Sants-Montjuïc,18,Sants,100,Públic,13
2021,3,Sants-Montjuïc,18,Sants,101,Públic,10
2021,3,Sants-Montjuïc,18,Sants,102,Públic,13
2021,3,Sants-Montjuïc,18,Sants,103,Públic,6
2021,3,Sants-Montjuïc,18,Sants,104,Públic,7
2021,3,Sants-Montjuïc,18,Sants,105,Públic,5
2021,3,Sants-Montjuïc,18,Sants,106,Públic,5
2021,3,Sants-Montjuïc,18,Sants,107,Públic,10
2021,3,Sants-Montjuïc,18,Sants,108,Públic,6
2021,3,Sants-Montjuïc,18,Sants,109,Públic,5
2021,3,Sants-Montjuïc,18,Sants,110,Públic,15
2021,3,Sants-Montjuïc,18,Sants,111,Públic,49
2021,3,Sants-Montjuïc,18,Sants,112,Públic,16
2021,3,Sants-Montjuïc,18,Sants,113,Públic,6
2021,3,Sants-Montjuïc,18,Sants,114,Públic,8
2021,3,Sants-Montjuïc,13,la Marina de Port,211,Públic,22
2021,3,Sants-Montjuïc,13,la Marina de Port,212,Públic,19
2021,3,Sants-Montjuïc,13,la Marina de Port,213,Públic,29
2021,4,Les Corts,19,les Corts,1,Públic,20
2021,4,Les Corts,19,les Corts,2,Públic,12
2021,4,Les Corts,19,les Corts,3,Públic,3
2021,4,Les Corts,19,les Corts,4,Públic,2
2021,4,Les Corts,19,les Corts,5,Públic,4
2021,4,Les Corts,19,les Corts,6,Públic,6
2021,4,Les Corts,19,les Corts,7,Públic,16
2021,4,Les Corts,19,les Corts,8,Públic,3
2021,4,Les Corts,19,les Corts,9,Públic,3
2021,4,Les Corts,19,les Corts,10,Públic,6
2021,4,Les Corts,19,les Corts,11,Públic,8
2021,4,Les Corts,19,les Corts,12,Públic,10
2021,4,Les Corts,19,les Corts,13,Públic,5
2021,4,Les Corts,19,les Corts,14,Públic,1
2021,4,Les Corts,19,les Corts,15,Públic,4
2021,4,Les Corts,19,les Corts,16,Públic,4
2021,4,Les Corts,19,les Corts,17,Públic,5
2021,4,Les Corts,19,les Corts,18,Públic,4
2021,4,Les Corts,19,les Corts,19,Públic,4
2021,4,Les Corts,19,les Corts,20,Públic,3
2021,4,Les Corts,19,les Corts,21,Públic,474
2021,4,Les Corts,19,les Corts,22,Públic,1
2021,4,Les Corts,19,les Corts,23,Públic,3
2021,4,Les Corts,19,les Corts,24,Públic,44
2021,4,Les Corts,19,les Corts,25,Públic,4
2021,4,Les Corts,19,les Corts,26,Públic,6
2021,4,Les Corts,19,les Corts,27,Públic,10
2021,4,Les Corts,19,les Corts,28,Públic,4
2021,4,Les Corts,19,les Corts,29,Públic,16
