Codi_Districte,Nom_Districte,Nom_Carrer,Personas,Promedio_Import_Euros,Vehicles
1,Ciutat Vella,Pl Acadèmia,106028,11517.703703703704,33685
8,Nou Barris,Francesc Bolòs,170736,12431.811965811965,66780
5,Sarrià-Sant Gervasi,Pl Benet XV,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Calàndries,148201,25606.775510204083,102272
1,Ciutat Vella,Cometa,106028,11517.703703703704,33685
3,Sants-Montjuïc,Dalmau,183770,14625.393162393162,79559
4,Les Corts,Equador,81074,22022.035087719298,48622
2,Eixample,Enric Granados,266857,18867.71676300578,128137
5,Sarrià-Sant Gervasi,Av Espasa,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Tren,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Pl Firmament,148201,25606.775510204083,102272
10,Sant Martí,Llacuna,239465,15323.08843537415,103094
4,Les Corts,Miret i Sans,81074,22022.035087719298,48622
10,Sant Martí,Estartit,239465,15323.08843537415,103094
5,Sarrià-Sant Gervasi,Osi,148201,25606.775510204083,102272
1,Ciutat Vella,Picalquers,106028,11517.703703703704,33685
1,Ciutat Vella,Sal,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Sant Guillem,148201,25606.775510204083,102272
7,Horta-Guinardó,Sant Quintí,172109,15152.317073170732,80895
7,Horta-Guinardó,Torre Vélez,172109,15152.317073170732,80895
8,Nou Barris,Esc Matagalls,170736,12431.811965811965,66780
3,Sants-Montjuïc,Av Parc Logístic,183770,14625.393162393162,79559
2,Eixample,Alí Bei,266857,18867.71676300578,128137
3,Sants-Montjuïc,Berlín,183770,14625.393162393162,79559
7,Horta-Guinardó,Berruguete,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Carroç,148201,25606.775510204083,102272
6,Gràcia,Ptge Casablanca,121915,18340.74712643678,57643
4,Les Corts,Castells,81074,22022.035087719298,48622
3,Sants-Montjuïc,Camí Far,183770,14625.393162393162,79559
10,Sant Martí,Fernando Poo,239465,15323.08843537415,103094
6,Gràcia,Font del Remei,121915,18340.74712643678,57643
3,Sants-Montjuïc,Gabriel Miró,183770,14625.393162393162,79559
4,Les Corts,Gandesa,81074,22022.035087719298,48622
6,Gràcia,Gomis,121915,18340.74712643678,57643
6,Gràcia,Maignon,121915,18340.74712643678,57643
7,Horta-Guinardó,Mas Pujol,172109,15152.317073170732,80895
7,Horta-Guinardó,Mqsa Caldes Montb,172109,15152.317073170732,80895
8,Nou Barris,Mas Duran,170736,12431.811965811965,66780
1,Ciutat Vella,Mina,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Ptge Mulet,148201,25606.775510204083,102272
7,Horta-Guinardó,Música,172109,15152.317073170732,80895
9,Sant Andreu,Pacífic,149826,15124.747368421053,65745
9,Sant Andreu,Peronella,149826,15124.747368421053,65745
4,Les Corts,Ptge Sta M Vilalba,81074,22022.035087719298,48622
5,Sarrià-Sant Gervasi,Vallirana,148201,25606.775510204083,102272
9,Sant Andreu,Pl Veracruz,149826,15124.747368421053,65745
3,Sants-Montjuïc,Número 60,183770,14625.393162393162,79559
1,Ciutat Vella,Pl Joan Amades,106028,11517.703703703704,33685
1,Ciutat Vella,Pl Caramelles,106028,11517.703703703704,33685
8,Nou Barris,Ignasi Agustí,170736,12431.811965811965,66780
3,Sants-Montjuïc,Ptge Moçambic,183770,14625.393162393162,79559
7,Horta-Guinardó,Art,172109,15152.317073170732,80895
3,Sants-Montjuïc,Mecànic Pablo Rada,183770,14625.393162393162,79559
7,Horta-Guinardó,Pl Bacardí,172109,15152.317073170732,80895
10,Sant Martí,Badajoz,239465,15323.08843537415,103094
5,Sarrià-Sant Gervasi,Canàries,148201,25606.775510204083,102272
3,Sants-Montjuïc,Cisell,183770,14625.393162393162,79559
6,Gràcia,Alzina,121915,18340.74712643678,57643
1,Ciutat Vella,Esquirol,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Av Pau Casals,148201,25606.775510204083,102272
2,Eixample,Pl Glòries Catalan,266857,18867.71676300578,128137
3,Sants-Montjuïc,Av J Tarradellas,183770,14625.393162393162,79559
10,Sant Martí,Joan d'Àustria,239465,15323.08843537415,103094
3,Sants-Montjuïc,Julià,183770,14625.393162393162,79559
8,Nou Barris,Legazpi,170736,12431.811965811965,66780
10,Sant Martí,Mestre Aloi,239465,15323.08843537415,103094
1,Ciutat Vella,Portadores,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Riu de l'Or,148201,25606.775510204083,102272
8,Nou Barris,Rocabruna,170736,12431.811965811965,66780
1,Ciutat Vella,Pl St Agustí Vell,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Solsonès,148201,25606.775510204083,102272
8,Nou Barris,Mirador de Llobera,170736,12431.811965811965,66780
1,Ciutat Vella,Pl Charles Darwin,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Actriu Tubau,148201,25606.775510204083,102272
6,Gràcia,Pas Àngel,121915,18340.74712643678,57643
1,Ciutat Vella,Arcs,106028,11517.703703703704,33685
6,Gràcia,Via Augusta,121915,18340.74712643678,57643
